,Name:,Attacking Prowess:,Ball Control:,Dribbling:,Low Pass:,Lofted Pass:,Finishing:,Place Kicking:,Swerve:,Header:,Defensive Prowess:,Ball Winning:,Kicking Power:,Speed:,Explosive Power:,Unwavering Balance:,Physical Contact:,Jump:,Stamina:
1877,['A. RÍOS'],75,71,72,66,65,80,63,66,79,50,54,77,79,81,67,79,79,75
1878,['P. HETEMAJ'],68,75,74,76,72,63,66,69,62,70,75,79,76,76,76,68,77,84
1879,['TITI'],65,70,66,71,69,56,60,65,73,83,81,75,69,65,67,89,75,80
1880,['E. DERDIYOK'],82,74,68,74,65,79,66,68,86,52,54,82,72,65,68,87,76,68
1881,['F. FREI'],67,76,71,76,77,70,66,69,67,68,69,80,69,74,70,70,72,81
1882,"[""D. N'DOYE""]",74,71,73,75,70,80,71,72,75,55,58,81,76,74,66,82,77,78
1883,['PABLO HERNÁNDEZ'],72,82,78,73,76,70,79,81,63,55,55,76,74,76,83,66,69,73
1884,['S. PADOIN'],66,75,75,76,76,61,64,72,68,69,70,70,73,74,70,70,73,83
1885,['RAMON'],70,74,77,73,76,70,71,75,61,66,64,80,76,77,77,61,67,76
1886,['D. GOSLING'],83,77,72,78,74,65,59,60,63,74,71,75,67,71,69,69,70,81
1887,['G. GILLET'],70,75,72,79,72,65,63,62,77,76,72,75,72,69,62,76,74,79
1888,['N. TOMOVIĆ'],58,72,67,71,69,56,55,63,75,78,81,75,76,73,69,81,80,78
1889,['V. DENISOV'],69,68,72,73,71,46,64,68,66,72,77,75,79,82,67,66,69,85
1890,['N. LOMBAERTS'],55,66,65,76,73,58,63,65,81,77,78,73,66,64,68,82,80,70
1891,['GEBRE SELASSIE'],67,70,74,71,66,60,53,56,71,66,73,76,85,83,75,65,76,85
1892,['L. IMMERS'],72,75,72,72,72,67,70,67,80,68,73,80,73,72,78,81,84,85
1893,['LAZAROS CH.'],76,77,77,72,70,72,79,78,72,50,54,80,77,76,75,72,71,67
1894,['E. RIVIÈRE'],79,75,74,67,59,77,68,67,75,53,54,74,79,82,74,71,79,73
1895,['C. CLARK'],60,68,63,69,68,58,60,66,83,79,81,73,72,67,61,80,78,72
1896,['N. BAKER'],60,66,66,70,68,57,58,66,79,79,78,77,66,65,70,80,79,76
1897,['J. BENNETT'],68,72,70,70,72,59,65,64,69,76,75,72,74,77,72,69,74,76
1898,['DAVID BRAZ'],61,68,65,67,69,63,61,65,78,79,78,73,68,70,68,76,81,75
1899,['L. ARIAUDO'],60,66,64,68,69,60,57,63,81,77,79,67,71,69,70,78,82,77
1900,['CHARLES'],67,77,68,76,78,68,63,70,62,74,75,82,66,68,60,73,68,78
1901,['G. SHCHENNIKOV'],69,75,68,73,76,52,67,70,68,73,69,61,80,82,72,65,72,79
1902,['U. BULUT'],84,70,72,69,63,74,62,66,83,59,62,80,70,68,71,76,81,86
1903,['T. CHERY'],70,76,75,75,69,73,83,78,60,56,55,83,79,83,85,64,77,74
1904,['J. LARSEN'],68,71,73,67,70,62,58,60,72,70,66,68,84,83,69,74,77,82
1905,['T. PUKKI'],75,76,75,73,67,78,55,69,72,52,46,79,83,81,78,77,77,73
1906,['D. LAZOVIĆ'],70,77,78,68,69,63,65,74,60,57,57,73,85,85,72,63,68,83
1907,['J. OBI'],69,76,77,73,68,64,58,63,66,72,74,79,79,82,78,68,77,84
1908,['H. NORDTVEIT'],60,74,68,72,71,56,72,71,80,70,81,79,76,72,66,85,81,80
1909,['J. COLBACK'],65,73,68,77,70,64,65,70,61,74,76,73,70,75,78,68,79,79
1910,['MÍCHEL'],67,79,74,84,78,69,74,71,60,56,60,77,71,72,70,71,65,77
1911,['F. CACCIATORE'],64,71,69,73,73,58,56,66,74,73,75,75,77,76,66,77,76,80
1912,['K. NAUGHTON'],65,75,70,75,71,52,51,52,74,71,75,70,83,83,73,71,79,77
1913,['A. GRASSI'],68,75,72,77,74,63,63,66,73,72,71,70,75,74,70,77,76,80
1914,['M. JEDINAK'],66,73,65,73,70,65,75,64,74,83,82,82,64,62,73,86,68,80
1915,['J. ABSALONSEN'],70,77,76,72,77,75,75,78,68,54,56,77,78,77,77,68,74,76
1916,['L. KREJČÍ'],71,78,77,72,74,66,75,78,63,58,55,74,80,78,78,63,70,77
1917,['JONATHAS'],80,75,75,69,63,77,63,67,76,50,51,78,76,75,69,85,75,75
1918,['D. BOYATA'],56,68,57,69,67,58,57,49,83,78,81,78,76,72,66,83,76,77
1919,['TOMÁS PINA'],67,83,75,79,78,56,64,66,67,78,77,71,65,64,72,79,68,78
1920,['B. OVIEDO'],72,76,77,69,74,65,75,75,62,61,62,73,76,80,71,69,72,79
1921,['E.AGYEMANG-BADU'],67,71,73,71,69,62,61,65,68,75,74,76,80,82,82,72,83,87
1922,['ELIAS'],72,75,74,74,73,74,66,68,67,68,74,76,77,76,72,68,70,82
1923,['JONATHAN'],74,75,76,74,75,65,62,69,60,67,68,76,77,80,77,74,66,76
1924,['THIAGO HELENO'],61,69,63,68,63,58,63,62,83,79,78,82,69,68,62,88,82,70
1925,['M. CAIRE'],70,72,73,72,75,69,70,68,72,68,69,72,77,75,63,73,73,75
1926,['F. CUBERO'],66,72,70,73,74,62,61,63,75,76,79,78,69,74,72,78,78,76
1927,['A. CABRAL'],68,77,72,84,77,65,62,70,66,65,65,83,68,65,60,83,70,76
1928,['V. HERNÁNDEZ'],75,81,78,75,68,74,65,75,59,41,70,61,82,83,80,58,83,74
1929,['E. SCHELOTTO'],70,74,76,71,74,62,57,67,67,66,65,75,81,77,60,78,65,87
1930,['ZURUTUZA'],75,78,79,80,75,75,66,73,69,69,73,68,65,67,61,74,58,76
1931,['B. LINSSEN'],80,73,75,64,62,78,65,66,78,57,52,80,80,81,80,74,76,77
1932,['T. XHAKA'],66,72,71,70,73,59,61,61,60,68,72,75,82,78,82,81,73,91
1933,['RONALDO ALVES'],60,68,68,71,68,64,70,63,77,77,78,76,68,69,68,79,78,76
1934,['RAMALHO'],56,69,59,82,67,56,55,58,83,82,79,53,80,75,64,71,79,76
1935,['SERGIO ÁLVAREZ'],69,77,64,78,81,63,68,67,68,69,82,81,70,70,69,74,73,82
1936,['LUNA'],68,74,71,70,72,64,57,67,66,68,75,72,78,75,71,74,75,80
1937,['B. ÉCUÉLÉ MANGA'],61,70,65,73,70,58,60,60,78,82,81,75,74,70,65,82,78,75
1938,['J. TAVERNIER'],66,75,72,73,73,68,72,72,62,62,64,70,84,83,76,72,65,80
1939,['N. MENDY'],65,76,71,76,72,55,58,66,68,74,75,67,73,74,82,75,76,79
1940,['C. CATHCART'],53,69,62,74,67,54,59,59,81,80,82,66,67,65,76,82,77,75
1941,['A. ACQUAH'],71,75,76,74,70,64,58,64,67,70,66,80,81,78,71,78,78,85
1942,['LÉO'],59,64,61,62,64,54,60,57,81,83,78,78,67,66,62,85,82,77
1943,['M. DOHERTY'],69,73,72,72,70,62,60,61,61,68,70,72,79,75,67,74,80,87
1944,['K. STAFYLIDIS'],61,74,71,73,76,64,69,72,61,75,77,86,79,77,79,68,62,69
1945,['WALLACE'],70,67,66,67,74,65,61,65,79,77,75,81,70,70,69,77,81,80
1946,['F. MANCUELLO'],78,75,74,76,77,70,78,76,60,54,60,81,73,74,76,70,61,78
1947,['ÉDER'],77,73,75,73,67,76,65,69,76,55,51,83,79,75,64,85,77,76
1948,['WILSON EDUARDO'],79,78,78,70,70,75,70,79,65,50,50,82,82,75,68,68,64,80
1949,['K. GROSICKI'],76,77,74,74,75,74,68,71,70,51,50,76,83,88,80,69,62,69
1950,['D. OPARE'],74,67,72,68,68,60,56,70,68,70,70,70,82,80,76,68,77,78
1951,['A. BAMBA'],70,71,68,73,68,50,54,66,69,74,72,66,80,81,78,73,76,78
1952,['B. CORGNET'],79,77,76,80,75,74,71,67,67,61,54,76,69,72,72,67,71,73
1953,['A. NYOM'],61,73,69,65,75,55,55,69,70,73,74,75,82,77,61,85,67,85
1954,['V. PAJOT'],81,79,68,78,70,56,58,62,69,83,75,81,64,68,67,74,74,81
1955,['B. JOHNSON'],72,74,69,72,74,70,72,68,76,74,75,88,67,69,75,80,82,81
1956,['J. MATTHEIJ'],64,70,68,71,69,59,64,70,79,75,77,73,71,69,66,80,77,75
1957,['C. ATSU'],70,74,77,73,67,65,64,70,60,53,53,72,89,95,85,60,65,66
1958,['A. BA'],58,70,64,72,69,59,58,56,83,80,77,71,70,72,64,80,77,79
1959,['B. ESPINOSA'],55,68,62,75,66,59,62,61,83,82,82,66,68,66,65,85,80,73
1960,['N. MURRU'],66,72,68,72,69,57,58,67,69,71,76,68,80,78,74,72,73,82
1961,['C. COADY'],63,71,66,76,76,63,65,63,71,78,79,75,66,65,68,81,78,78
1962,['M. LIEDER'],69,81,72,65,64,84,60,57,86,49,47,72,81,76,69,83,90,68
1963,['G. CASTELLANI'],70,77,77,79,78,62,76,72,68,60,61,76,75,77,75,75,68,78
1964,['GABRIEL SILVA'],66,73,75,68,74,64,60,71,68,65,63,72,83,80,76,67,70,82
1965,['W. LAUTOA'],69,71,66,74,65,55,57,64,72,82,81,73,70,69,72,83,77,78
1966,['L. LÓPEZ'],60,66,68,70,62,60,50,51,83,79,80,75,74,71,67,83,82,70
1967,['N. ARAÚJO'],52,69,56,71,66,54,55,56,78,84,80,73,74,69,64,87,76,77
1968,['T. KLOSE'],64,69,62,76,77,56,57,60,84,83,81,74,63,61,61,85,69,75
1969,['GABRIEL'],58,75,73,75,66,66,53,63,68,78,80,76,75,77,75,75,73,84
1970,['M. SAYMAK'],74,79,78,77,74,72,68,71,62,66,64,75,74,77,77,61,62,76
1971,['RENÊ'],65,74,73,73,76,60,61,66,60,61,70,76,80,84,78,69,69,81
1972,['J. STEPHENS'],64,71,67,72,70,62,60,61,80,78,77,69,72,70,63,82,78,77
1973,['N. STANCIU'],78,77,75,77,74,72,75,78,69,58,59,73,72,73,78,65,66,70
1974,['PAULO OLIVEIRA'],64,68,65,71,67,57,63,66,76,79,75,73,72,71,61,84,84,78
1975,['O. ELABDELLAOUI'],75,75,78,74,73,60,57,70,62,70,71,75,81,78,74,67,63,76
1976,['R. GENEVOIS'],66,64,63,70,67,55,57,61,77,76,79,71,73,71,66,82,81,79
1977,['R. BENNETT'],55,65,58,72,70,55,55,57,80,82,82,68,62,60,69,83,83,75
1978,"[""I. M'BAYE""]",70,73,74,68,70,58,55,65,67,65,69,68,85,83,70,77,67,81
1979,['A. DUNCAN'],70,75,72,75,71,68,61,66,69,74,74,82,78,75,70,81,76,81
1980,['S. MORRISON'],58,65,63,65,67,56,54,61,81,80,82,72,68,67,68,86,81,75
1981,['JEFFERSON'],70,70,72,70,82,60,71,81,60,65,63,81,80,75,75,74,65,82
1982,['A. HASSAN'],79,72,72,71,62,79,66,67,85,48,48,82,69,69,63,85,83,77
1983,['T. CARROLL'],71,80,76,84,77,64,68,72,60,63,64,69,70,71,79,62,64,77
1984,['D. MACHÍS'],75,80,84,69,66,71,60,65,64,46,43,72,84,87,84,66,70,72
1985,['S. BAHOKEN'],80,74,72,73,62,79,65,69,72,48,47,77,82,80,76,75,72,74
1986,['A. WESTWOOD'],70,76,67,79,78,64,75,68,61,75,73,73,65,70,79,70,70,79
1987,['S. YAGO'],69,67,71,71,67,57,58,77,68,75,74,70,77,77,72,75,77,79
1988,['C. JEAN'],74,75,73,71,79,70,77,72,57,54,65,74,78,79,79,69,70,77
1989,"[""O. N'GUETTE""]",76,73,79,71,67,71,59,67,71,56,50,74,83,82,80,75,81,74
1990,['A. ZABOLOTNYI'],79,74,67,67,61,76,55,70,88,53,62,80,75,69,65,90,83,75
1991,['RUBÉN PEÑA'],75,74,72,71,73,73,63,65,58,65,65,71,84,81,81,62,64,79
1992,['S. VAN BEEK'],64,70,69,73,71,57,59,59,77,80,78,76,72,71,69,78,77,76
1993,['A. ADOMAH'],76,75,75,69,70,74,58,62,61,57,59,74,89,87,67,70,73,75
1994,['TIAGO SILVA'],73,80,81,75,75,65,78,77,60,53,53,80,80,77,81,60,61,78
1995,['T. DINGOMÉ'],72,76,76,73,75,65,72,76,68,70,68,74,76,74,73,69,74,80
1996,['JUAN'],60,73,64,71,74,58,58,64,77,84,83,72,62,59,66,79,82,72
1997,['M. LECKIE'],70,74,78,66,68,63,61,70,61,50,50,74,91,91,78,70,78,77
1998,['M. VYDRA'],80,76,71,70,65,78,65,67,61,51,54,74,83,85,73,65,82,73
1999,['LUAN'],59,70,61,66,67,56,55,56,81,86,84,71,71,74,63,80,75,70
2000,['SAMIR'],65,71,70,69,66,58,59,59,81,78,79,70,74,70,64,82,82,76
2001,['P.SCHIATTARELLA'],70,74,71,79,78,67,70,69,73,70,65,78,73,72,69,71,75,82
2002,['M. BAUER'],65,71,74,73,78,55,62,66,62,70,72,66,85,79,70,64,73,73
2003,['L. DEPOITRE'],76,75,69,72,68,77,58,60,81,56,52,78,70,67,81,90,76,83
2004,['P. DE BLASIS'],72,77,75,74,77,73,64,78,60,73,69,66,80,82,66,60,61,74
2005,['J. RALLS'],72,76,74,77,76,60,60,66,68,65,70,73,73,76,75,75,69,81
2006,['D. GAYLE'],80,73,73,68,65,75,76,67,73,53,51,76,84,87,83,66,70,73
2007,['J. MURPHY'],72,73,78,71,72,70,69,76,60,54,59,73,85,83,80,64,61,75
2008,['C. MBEMBA'],62,70,66,66,67,61,55,56,76,77,77,78,76,74,63,84,81,76
2009,['O. VRANJEŠ'],60,59,61,66,62,54,58,64,84,82,81,70,77,76,73,75,74,73
2010,['J. IBE'],70,78,82,70,67,67,63,67,60,58,60,78,86,86,80,70,64,71
2011,['S. PERICA'],78,73,74,65,63,76,58,64,78,55,49,80,84,80,66,81,78,75
2012,['J. CALLERI'],79,75,72,68,70,78,65,63,79,50,49,76,78,76,78,78,76,75
2013,['G. PIOVI'],66,73,74,69,77,66,61,75,65,72,77,78,83,78,79,76,70,82
2014,['PAULINHO'],79,74,72,73,70,80,69,71,82,47,47,79,75,70,69,83,78,82
2015,['F. MOUBANDJE'],69,69,72,67,71,55,62,67,64,74,75,65,76,78,70,76,80,76
2016,['N. CHALOBAH'],70,77,75,78,76,58,59,58,73,76,78,76,68,70,69,75,72,77
2017,['J. RIEDEWALD'],60,72,71,74,72,60,56,65,76,76,77,76,78,75,72,77,82,78
2018,['R. THOMAS'],73,79,78,74,73,66,70,68,60,64,65,77,77,80,78,60,71,77
2019,['LÉO BONATINI'],79,77,75,69,67,73,65,71,72,52,51,79,74,75,72,79,74,75
2020,['JOSEBA ZALDÚA'],69,68,64,72,69,59,64,67,73,73,78,70,79,80,72,73,69,79
2021,['G. MARIPÁN'],58,64,60,66,71,58,60,62,80,79,76,73,71,72,74,83,78,78
2022,['G. DONSAH'],70,74,73,73,71,65,63,61,69,71,77,78,82,79,76,80,77,81
2023,['G. CAMPI'],57,67,64,69,67,59,60,64,79,74,79,74,75,67,69,84,76,81
2024,['T. INCE'],76,78,79,70,73,72,75,78,60,53,55,72,81,84,83,62,65,72
2025,['S. MENDOZA'],72,72,78,64,67,68,65,68,62,50,54,78,91,92,62,77,73,78
2026,['Y. SOTELDO'],75,80,80,75,72,65,70,70,60,52,52,72,82,85,90,60,60,75
2027,['A. SEMENOV'],61,69,60,76,75,51,52,67,78,80,80,71,72,66,62,84,76,80
2028,['K. WASTON'],59,67,62,65,71,55,56,56,82,80,77,67,69,65,61,95,85,73
2029,['D. YEDLIN'],66,71,73,66,64,55,55,65,63,68,70,68,93,93,65,70,68,83
2030,['M. LUONGO'],67,74,74,75,70,66,62,65,64,73,77,71,74,73,75,73,80,87
2031,['BRUNO ALVES'],60,68,65,69,66,57,58,61,82,78,77,74,73,76,66,77,80,73
2032,['F. MAGNANELLI'],64,74,72,77,76,62,66,70,67,75,74,78,68,68,70,76,75,79
2033,['D. MAIETTA'],61,66,65,71,67,61,59,63,76,81,82,74,72,72,66,82,78,75
2034,['S. MISSIROLI'],72,77,76,76,72,68,66,67,78,69,64,72,71,68,76,76,77,79
2035,['L. SILIGARDI'],71,77,77,71,73,74,69,73,61,54,56,73,79,81,85,68,65,73
2036,['P. CHAVARRÍA'],77,76,72,73,66,74,62,65,78,55,58,74,81,79,72,75,80,79
2037,['J. FERNÁNDEZ'],73,79,79,73,72,68,68,71,61,60,65,73,77,83,73,67,74,75
2038,['EDUARDO SASHA'],76,75,74,72,67,76,67,71,71,55,59,75,79,82,72,75,72,77
2039,['P. DUMMETT'],69,72,70,72,69,60,60,62,79,77,77,65,73,70,78,76,74,80
2040,['L. DEAUX'],70,72,70,75,71,56,60,66,76,77,76,74,71,70,68,81,78,81
2041,['D. BESSA'],75,78,78,80,80,66,73,74,60,54,56,77,73,73,75,70,67,75
2042,['C. MOLINARO'],65,72,72,70,75,57,56,66,72,72,74,74,76,75,68,76,78,76
2043,['FRANSÉRGIO'],77,75,74,75,77,61,61,61,79,69,63,85,71,70,62,81,75,82
2044,['F. URIBE'],79,78,74,70,65,76,67,72,78,52,47,78,76,75,68,75,76,73
2045,['D. GONZÁLEZ'],75,79,81,69,67,74,62,71,63,50,50,78,81,85,76,70,69,75
2046,['RAÚL GARCÍA'],69,76,70,70,73,66,63,70,68,69,70,73,77,79,65,72,70,80
2047,['D. CATALDI'],67,76,75,78,79,66,75,76,60,64,62,80,72,74,75,70,65,80
2048,['TOÑO'],60,79,74,77,68,55,51,78,60,66,70,59,86,87,62,70,72,77
2049,['KIKE'],81,74,71,72,68,77,63,69,82,59,57,75,68,75,62,83,77,78
2050,['R. GAGLIOLO'],66,64,63,68,67,59,55,62,74,77,75,73,79,78,77,72,85,79
2051,['F. VIVIANI'],66,76,72,77,80,63,82,83,62,65,65,78,69,70,72,74,61,74
2052,['H. MAGNÚSSON'],61,68,63,75,76,56,65,67,76,79,75,75,74,67,70,80,80,75
2053,['F. VICARI'],55,67,64,68,67,60,53,55,78,82,81,73,75,73,65,84,77,77
2054,['P. FARAGÒ'],70,73,74,75,77,65,69,64,69,66,67,75,80,76,73,75,66,86
2055,['I. HAYDEN'],68,73,69,74,68,65,63,65,69,76,77,70,73,69,76,82,76,81
2056,['RODRIGO ELY'],58,68,63,70,66,59,61,59,78,79,78,72,75,78,60,83,78,77
2057,['M. HECTOR'],59,66,62,69,64,60,53,52,76,82,81,73,80,71,66,90,73,76
2058,['CHEMA'],58,63,54,68,66,54,52,53,83,86,84,64,72,72,65,78,78,70
2059,['ÓSCAR PLANO'],78,75,75,70,68,71,64,64,61,56,55,77,84,83,66,72,70,83
2060,['JAVI MOYANO'],62,80,68,75,65,58,57,57,63,79,72,68,83,79,70,69,67,83
2061,['ADAY'],69,81,72,75,68,67,63,64,62,76,72,72,77,77,68,68,61,81
2062,['J. IKOKO'],72,71,71,72,70,53,58,65,64,69,73,65,82,81,77,72,76,79
2063,['V. MANCEAU'],70,73,69,72,74,58,66,67,68,75,76,71,71,66,74,70,82,81
2064,"[""C. N'DOYE""]",73,73,67,76,69,66,63,64,85,75,74,77,72,65,87,89,84,83
2065,['X. CHAVALERIN'],72,74,71,75,81,68,83,81,61,68,67,82,71,69,75,74,68,77
2066,['L. CAROLE'],66,70,71,67,68,65,65,66,67,74,73,75,84,80,62,72,75,76
2067,['P. ROBERTS'],77,80,82,75,69,71,64,71,61,52,49,70,79,85,92,55,64,73
2068,['R. KEOGH'],60,64,62,73,70,55,62,63,77,80,78,67,73,72,66,77,78,79
2069,['P. BAMFORD'],82,75,71,68,66,82,62,66,73,53,56,80,75,70,62,78,71,77
2070,['J. HOGG'],69,77,72,79,69,59,52,54,69,77,78,69,72,73,74,76,68,92
2071,['T. SMITH'],71,73,72,71,75,56,54,57,69,73,74,65,76,78,69,73,68,81
2072,['T. LEES'],58,68,64,71,68,56,55,58,79,80,81,68,68,65,72,82,87,76
2073,['M. WILUSZ'],58,68,61,73,76,57,62,69,77,84,76,73,74,70,61,83,74,78
2074,['A. REACH'],70,74,75,73,77,68,62,70,62,61,62,74,79,78,71,76,76,87
2075,['B. GIBSON'],65,72,63,72,63,57,54,58,76,81,80,73,77,63,68,82,81,73
2076,['ANDRÉ SIMÕES'],70,73,70,77,70,66,65,61,76,86,80,72,75,74,78,73,66,85
2077,['S. WUYTENS'],66,75,78,77,74,66,70,71,73,70,78,75,79,80,64,74,74,82
2078,['D. CIOFANI'],78,71,70,68,61,78,64,59,82,57,58,82,75,73,67,82,87,75
2079,['Y. ABDELHAMID'],62,65,66,69,69,65,58,60,81,76,80,73,72,71,73,83,79,77
2080,['SERGIO POSTIGO'],56,65,60,66,62,56,54,59,80,84,84,71,68,65,62,85,80,74
2081,['M. MANTOVANI'],58,73,65,74,70,57,62,64,81,78,82,72,68,63,70,82,78,76
2082,['B. JEANNOT'],77,75,71,70,69,76,64,65,72,50,52,76,78,78,75,76,78,79
2083,['P. MARTINEZ'],70,68,67,69,70,55,67,69,73,78,76,71,75,74,71,76,80,78
2084,['R. SAÏSS'],64,76,70,79,79,64,63,64,76,78,75,73,73,72,75,74,71,79
2085,['T. SAVANIER'],74,73,72,79,77,65,75,77,60,68,67,78,77,78,78,65,70,78
2086,['P. GOUANO'],64,67,63,66,64,64,66,62,76,82,76,72,72,67,70,81,80,78
2087,['D. AMARTEY'],62,68,69,72,70,58,55,60,70,71,70,80,79,77,63,84,80,88
2088,['WU LEI'],75,71,76,70,67,77,67,70,67,48,48,72,86,87,80,64,75,76
2089,['I. THELIN'],83,75,68,67,58,80,60,63,83,50,55,79,71,68,65,84,78,79
2090,['S. KLAIBER'],75,73,73,74,73,67,60,67,67,71,68,73,78,79,67,73,70,80
2091,['A. BARRECA'],68,75,74,70,71,58,57,70,63,73,74,63,80,81,75,68,74,80
2092,['R. TAPIA'],70,75,77,73,69,65,69,67,75,74,76,73,71,72,70,80,81,80
2093,['B. AFOBE'],77,74,73,72,65,77,65,72,71,45,47,73,82,83,72,79,79,73
2094,['FÁBIO MARTINS'],70,78,82,69,75,70,60,75,61,60,51,82,80,83,77,65,60,75
2095,['E. GOLDANIGA'],55,65,63,66,64,61,58,59,83,78,75,65,73,66,70,87,84,75
2096,['M. THORSBY'],72,75,73,77,67,70,62,70,78,68,74,78,75,74,68,83,80,83
2097,['A. IONIŢĂ'],72,74,69,75,73,68,67,71,75,72,75,79,69,67,71,81,80,84
2098,['L. CABRERA'],60,67,66,64,64,56,60,63,77,80,74,69,75,74,64,84,86,78
2099,['TIAGO PAGNUSSAT'],57,67,63,65,69,54,70,68,81,80,79,75,69,64,66,86,80,73
2100,['B. ASSOMBALONGA'],81,73,72,63,64,80,60,66,71,56,55,78,82,80,83,68,72,74
2101,['RUBÉN SOBRINO'],80,78,76,70,68,77,72,72,72,46,53,75,74,76,74,66,69,76
2102,['T. LAWRENCE'],75,75,78,73,75,73,76,67,66,59,56,77,77,80,80,67,66,76
2103,['E. CABACO'],61,66,61,67,60,56,53,60,74,86,85,66,75,67,66,77,80,79
2104,['D. BRAŠANAC'],69,74,71,72,75,67,67,66,69,72,80,73,80,76,75,77,73,81
2105,['JUNINHO QUIXADÁ'],77,78,81,70,70,76,66,72,59,53,51,76,72,78,75,73,59,75
2106,['F. DIAGNE'],64,68,67,66,64,55,63,61,78,76,79,71,73,71,67,83,83,70
2107,['C. MAYADA'],70,73,76,70,73,65,62,75,61,63,55,77,85,83,79,73,72,84
2108,['K. PETERSON'],79,76,76,71,69,75,63,64,75,59,59,75,77,78,69,75,73,76
2109,['C. TAYLOR'],65,72,72,71,75,60,65,70,70,73,71,68,74,79,70,70,75,75
2110,['K. RODRIGUES'],72,79,75,75,75,60,71,75,65,69,65,59,81,83,79,62,67,73
2111,['F. MATTIELLO'],67,73,74,70,72,62,60,70,69,65,74,78,82,84,73,68,66,82
2112,['HYORAN'],71,77,80,77,76,73,64,68,60,50,45,72,85,84,76,62,62,81
2113,['ANDREAS PEREIRA'],76,84,81,78,75,60,80,71,65,54,54,76,74,77,62,62,75,78
2114,['ÁLVARO MEDRÁN'],71,79,76,80,81,63,68,67,60,57,69,75,70,72,65,64,75,77
2115,['F. ROMAGNA'],59,65,66,68,68,54,56,58,79,80,82,70,77,74,68,80,77,74
2116,['S. AMRABAT'],69,75,72,76,75,72,74,74,73,65,69,74,75,75,72,73,75,77
2117,['ROGER GUEDES'],75,75,77,69,67,76,65,69,65,58,49,74,86,85,75,71,64,75
2118,['A. BEHICH'],73,71,74,69,67,66,61,68,62,68,67,74,82,84,77,67,68,82
2119,['M. JOJIĆ'],70,78,75,75,80,70,80,81,71,55,55,80,70,75,75,64,60,77
2120,['R. VERA'],62,63,62,64,68,62,58,62,78,76,79,80,69,65,73,83,78,80
2121,['M. ESCUDERO'],61,65,62,67,70,54,58,62,81,77,78,77,72,74,76,79,78,80
2122,['L. FREEMAN'],70,74,78,74,77,69,73,75,61,63,60,70,77,81,80,64,76,76
2123,['J. HUGILL'],79,70,69,67,65,76,59,63,82,58,57,76,80,81,68,80,86,80
2124,['RODINEI'],66,70,75,69,71,67,67,66,64,68,66,72,84,84,75,66,65,80
2125,['BERNARDO'],53,67,65,71,64,51,54,70,81,76,81,78,77,78,74,80,80,80
2126,['RENATO NETO'],73,74,69,76,77,63,67,64,75,73,74,81,69,67,61,83,65,82
2127,['V. BUYALSKYY'],70,80,75,79,75,68,68,72,70,67,68,78,70,72,68,61,63,77
2128,['M. MAVRAJ'],52,66,62,69,64,53,50,55,84,85,83,66,68,66,75,82,78,72
2129,['J. ST. JUSTE'],64,72,68,72,68,60,59,63,78,76,77,74,77,80,72,76,77,74
2130,['E. SVIATCHENKO'],62,66,60,69,67,56,55,57,82,74,78,72,77,73,68,87,83,75
2131,['O. HADDADI'],67,68,67,69,75,56,64,71,73,74,76,71,73,74,73,80,75,82
2132,['J. AHOLOU'],73,72,73,78,73,56,55,60,73,79,80,70,74,75,73,80,74,80
2133,['M. MITROVIĆ'],56,67,67,72,70,58,57,59,79,78,80,73,72,71,67,83,82,74
2134,['FRAN SOL'],82,72,70,74,65,82,63,70,74,50,45,80,74,70,72,76,72,78
2135,['A. DONIS'],73,77,80,70,70,75,61,62,67,53,54,75,90,91,82,68,71,77
2136,['JASON'],71,82,84,66,63,72,66,78,62,50,50,75,82,86,75,60,63,70
2137,['T. BONGONDA'],76,80,81,76,76,70,65,66,60,47,50,79,84,87,80,63,65,69
2138,['GONZALO MELERO'],75,80,69,78,76,72,68,69,71,71,72,74,67,66,68,70,68,77
2139,['G. KERK'],76,73,76,71,68,74,62,64,73,60,56,78,84,82,72,78,77,76
2140,['BORJA MAYORAL'],86,76,70,70,57,83,62,65,68,56,45,73,76,74,70,65,74,70
2141,['O. BURKE'],69,73,75,65,63,65,70,74,70,50,50,79,89,90,85,80,77,70
2142,['M. ROSSETTO'],74,74,71,76,75,70,76,73,61,72,71,83,74,75,70,72,67,81
2143,['MATHEUS SÁVIO'],67,78,80,75,78,70,75,79,60,57,60,77,76,79,86,63,65,70
2144,['SANDER'],67,73,76,73,76,66,64,68,60,67,71,69,81,83,76,70,63,74
2145,['D. RICE'],65,73,66,74,73,56,57,65,75,80,81,68,72,68,66,82,83,78
2146,['JOSELU'],78,73,73,70,65,78,69,67,80,61,55,77,73,72,70,77,75,77
2147,['BURGUI'],75,77,78,76,73,71,73,74,60,52,48,74,82,79,72,67,71,77
2148,['NUNO DA COSTA'],77,78,75,71,68,74,63,71,74,59,48,76,78,80,75,77,78,75
2149,['E. KWATENG'],65,75,60,79,78,45,61,66,68,77,74,69,79,77,70,80,72,81
2150,['BRUNO VIANNA'],60,64,64,73,64,61,61,61,83,78,79,69,70,67,61,83,81,80
2151,['E. KRAFTH'],64,71,69,72,75,60,64,58,81,77,80,64,73,74,68,79,73,77
2152,['F. GUERRERO'],68,72,71,74,72,64,64,74,65,73,73,68,82,84,84,70,77,83
2153,['CLAYSON'],72,78,84,74,76,60,74,81,57,58,52,74,81,84,80,55,65,72
